ID,Name,Once,Slot,Value,Upgrade,Gold,XP
1,First Quest,FALSE,-1,0,FALSE,0,0
2,Chieftain's Head,FALSE,-1,0,FALSE,100,100
3,Chipped Tooth,FALSE,-1,0,FALSE,100,100
4,Hideous Tail,FALSE,-1,0,FALSE,100,100
5,Funny Bone,FALSE,-1,0,FALSE,150,100
6,Porkon's Pride,FALSE,-1,0,FALSE,0,100
7,Zorbak's Reward,FALSE,-1,0,FALSE,200,100
8,Secret Map,FALSE,-1,0,FALSE,100,100
9,Farm Cleanup,FALSE,-1,0,FALSE,100,100
10,Pet Food Delivery,FALSE,-1,0,FALSE,750,750
11,Twilly's New Staff,FALSE,-1,0,FALSE,100,100
12,Rubber Ducky,FALSE,-1,0,FALSE,100,100
13,Rats off To ya!,FALSE,-1,0,FALSE,100,100
14,Specialty Pizza,FALSE,-1,0,FALSE,100,100
15,Defend the Gates,FALSE,-1,0,FALSE,100,100
16,Undead Invasion,FALSE,-1,0,FALSE,100,100
20,Robina's Quest,FALSE,-1,0,FALSE,100,100
21,Missing Boxes,FALSE,-1,0,FALSE,100,100
22,Backyard Zards,FALSE,4,3,FALSE,100,100
23,Garden Snails,FALSE,4,6,FALSE,100,100
24,Attic Spiders,FALSE,4,4,FALSE,100,100
25,The Bone?,FALSE,4,10,FALSE,100,100
26,Tempestuous Times,TRUE,4,9,FALSE,200,200
27,Willow Creek,FALSE,4,1,FALSE,200,200
28,Pirate's Treasure,FALSE,-1,0,FALSE,200,200
29,Smells Fishy to Me,FALSE,-1,0,FALSE,100,100
30,Salmagundi,FALSE,-1,0,FALSE,100,100
31,Map Recovery,FALSE,-1,0,FALSE,200,200
32,Defend the Rats,FALSE,0,1,FALSE,100,100
33,Rats in the Cradle,TRUE,0,2,FALSE,0,0
35,Short in Spoons,FALSE,0,3,FALSE,100,100
36,Short in Forks,FALSE,0,4,FALSE,100,100
37,Letter Interception,FALSE,0,5,FALSE,100,100
38,Not A Noob,FALSE,0,6,FALSE,100,100
39,Missing King,TRUE,0,7,FALSE,100,100
40,Take Down,FALSE,0,8,TRUE,200,200
41,Starving Pets,FALSE,1,1,TRUE,100,100
42,Picky Eaters,FALSE,1,2,TRUE,100,100
