,,,,,
,ID,Shop,Category,Secondary,Comments
,2001,Ancient Shadows Rares,Rare Shop,,
,2002,Deep Tunnel Merge,Merge Shop,,
,2003,Druid Merge,Merge Shop,,
,2004,Down Below Finale,AC Shop,,
,2005,Shinkansen Merge,Merge Shop,,
,2006,FirePlane War Merge,Merge Shop,,
,2007,FirePlane War Chest,AC Shop,,
,2008,Shadow Fire Plane Merge,Merge Shop,,
,2009,Pyroclastic DragonSlayer,AC Shop,,
,2010,Exaltia Merge,Merge Shop,,
,2011,Chrono Merge,Merge Shop,,
,2012,2011 Timelock Key,Item Shop,,Requires 62168
,2013,2012 Timelock Key,Item Shop,,Requires 62169
,2014,2013 Timelock Key,Item Shop,,Requires 62170
,2015,2014 Timelock Key,Item Shop,,Requires 62171
,2016,2015 Timelock Key,Item Shop,,Requires 62172
,2017,2016 Timelock Key,Item Shop,,Requires 62173
,2018,2017 Timelock Key 2.0,Item Shop,,Requires 62174
,2019,2018 Timelock Key,Item Shop,,Requires 62175
,2020,2019 Timelock Key,Item Shop,,Requires 62176
,2021,2020 Timelock Key,Item Shop,,Requires 62177
,2022,2021 Timelock Key,Item Shop,,Requires 62178
,2023,HeroMart AC Shop,AC Shop,,
,2024,Quibbly Wobbly's Shop,Normal Shop,,
,2025,2022 Timelock Key,Item Shop,,Requires 73097
,2026,,No Shop,,
,2027,Cryomancer Knight LQS,Badge Shop,,LQS
,2028,Celestial Pyromancer LQS,Badge Shop,,LQS
,2029,Fire and Ice Swimsuits LQS,Badge Shop,,LQS
,2030,Frozenflame Battle Gear LQS,Badge Shop,,LQS
,2031,Fire Invasion Merge,Merge Shop,,
,2032,Beachin' Summer Collection,Item Shop,,Requires 62361
,2033,Beachin' Rares,Seasonal Shop,,
,2034,Kala Merge,Seasonal Shop,Merge Shop,
,2035,War Training Merge,Merge Shop,,
,2036,Gebo Shop,Merge Shop,,
,2037,Deadfly Merge,Merge Shop,Member Shop,
,2038,FireAvatar Merge,Merge Shop,,
,2039,Anime Fan Shop,Normal Shop,,
,2040,Hai Kyuute!! Anime Collection,Item Shop,AC Shop,Requires 62943
,2041,Hai Kyuute!! Anime Chest,Normal Shop,,
,2042,Hai Kyuute!! Anime House,Normal Shop,House Shop,
,2043,Astravia Castle Merge,Merge Shop,,
,2044,ShadowSlayer K Merge,Merge Shop,,
,2045,2019 Consumables,Item Shop,,Requires 62969
,2046,2020 Consumables,Item Shop,,Requires 62970
,2047,Iara Merge,Seasonal Shop,Merge Shop,
,2048,Dragonpirate Merge,Seasonal Shop,Merge Shop,
,2049,2021 TLaPD Prime Collection,Item Shop,AC Shop,Requires 63462
,2050,Chaos Pirate Seasonal Collection,Item Shop,AC Shop,Requires 63463
,2051,Chaos Pirate Seasonal Collection,Item Shop,AC Shop,Requires 63464
,2052,TLaPD Seasonal Shop (2022),Rare Shop,AC Shop,
